,CZ,agi,returns,bracket_min,bracket_max,year,state,agi_sum,returns_sum
0,100.0,392205.0,90581.0,0,9999,1998,TN,12382625.0,379737.0
1,100.0,2059151.0,121588.0,10000,24999,1998,TN,12382625.0,379737.0
2,100.0,3588274.0,99681.0,25000,49999,1998,TN,12382625.0,379737.0
3,100.0,6342995.0,67887.0,50000,10000000000000000,1998,TN,12382625.0,379737.0
4,200.0,182434.0,43161.0,0,9999,1998,TN,5222443.0,176025.0
5,200.0,1015362.0,60087.0,10000,24999,1998,TN,5222443.0,176025.0
6,200.0,1659940.0,46344.0,25000,49999,1998,TN,5222443.0,176025.0
7,200.0,2364707.0,26433.0,50000,10000000000000000,1998,TN,5222443.0,176025.0
8,301.0,37613.0,9223.0,0,9999,1998,KY,796993.0,31835.0
9,301.0,191247.0,11412.0,10000,24999,1998,KY,796993.0,31835.0
10,301.0,281700.0,7991.0,25000,49999,1998,KY,796993.0,31835.0
11,301.0,286433.0,3209.0,50000,10000000000000000,1998,KY,796993.0,31835.0
12,302.0,438287.0,114254.0,0,9999,1998,TN,19563027.0,502752.0
13,302.0,2429172.0,143248.0,10000,24999,1998,TN,19563027.0,502752.0
14,302.0,4537114.0,125683.0,25000,49999,1998,TN,19563027.0,502752.0
15,302.0,12158454.0,119567.0,50000,10000000000000000,1998,TN,19563027.0,502752.0
16,401.0,254169.0,62881.0,0,9999,1998,NC,12805672.0,318013.0
17,401.0,1590605.0,91947.0,10000,24999,1998,NC,12805672.0,318013.0
18,401.0,3021059.0,83613.0,25000,49999,1998,NC,12805672.0,318013.0
19,401.0,7939839.0,79572.0,50000,10000000000000000,1998,NC,12805672.0,318013.0
20,402.0,22248.0,5284.0,0,9999,1998,VA,721106.0,24900.0
21,402.0,156490.0,9176.0,10000,24999,1998,VA,721106.0,24900.0
22,402.0,256333.0,7095.0,25000,49999,1998,VA,721106.0,24900.0
23,402.0,286035.0,3345.0,50000,10000000000000000,1998,VA,721106.0,24900.0
24,500.0,654116.0,145567.0,0,9999,1998,NC,28647371.0,725396.0
25,500.0,3818042.0,219800.0,10000,24999,1998,NC,28647371.0,725396.0
26,500.0,6802911.0,189723.0,25000,49999,1998,NC,28647371.0,725396.0
27,500.0,17372302.0,170306.0,50000,10000000000000000,1998,NC,28647371.0,725396.0
28,601.0,58503.0,15972.0,0,9999,1998,NC,2326832.0,74208.0
29,601.0,451488.0,26076.0,10000,24999,1998,NC,2326832.0,74208.0
30,601.0,735112.0,20465.0,25000,49999,1998,NC,2326832.0,74208.0
31,601.0,1081729.0,11695.0,50000,10000000000000000,1998,NC,2326832.0,74208.0
32,602.0,17111.0,4134.0,0,9999,1998,NC,520155.0,18273.0
33,602.0,115902.0,6845.0,10000,24999,1998,NC,520155.0,18273.0
34,602.0,176444.0,4954.0,25000,49999,1998,NC,520155.0,18273.0
35,602.0,210698.0,2340.0,50000,10000000000000000,1998,NC,520155.0,18273.0
36,700.0,328685.0,50157.0,0,9999,1998,NC,8424037.0,225582.0
37,700.0,1204342.0,69650.0,10000,24999,1998,NC,8424037.0,225582.0
38,700.0,2087106.0,58457.0,25000,49999,1998,NC,8424037.0,225582.0
39,700.0,4803904.0,47318.0,50000,10000000000000000,1998,NC,8424037.0,225582.0
40,800.0,264197.0,58549.0,0,9999,1998,NC,9829581.0,285769.0
41,800.0,1574384.0,90561.0,10000,24999,1998,NC,9829581.0,285769.0
42,800.0,2803575.0,78022.0,25000,49999,1998,NC,9829581.0,285769.0
43,800.0,5187425.0,58637.0,50000,10000000000000000,1998,NC,9829581.0,285769.0
44,900.0,680681.0,164876.0,0,9999,1998,NC,38889029.0,857240.0
45,900.0,4016991.0,230805.0,10000,24999,1998,NC,38889029.0,857240.0
46,900.0,7927364.0,221127.0,25000,49999,1998,NC,38889029.0,857240.0
47,900.0,26263993.0,240432.0,50000,10000000000000000,1998,NC,38889029.0,857240.0
48,1001.0,62793.0,17774.0,0,9999,1998,NC,2336890.0,71546.0
